,sector,state,district,sex,age,cwstype,wage,edu_cat,log_wage
92681,2,Telangana,28,female,39,self employed,1,Secondary & higher,0
13994,2,Chhattisgarh,5,male,55,regular wage/salaried employees,65000,below middle,11.08214255
103051,2,Rajasthan,15,male,22,regular wage/salaried employees,5000,Secondary & higher,8.517193191
96865,2,Maharashtra,21,male,60,regular wage/salaried employees,15000,Secondary & higher,9.61580548
3066,2,Telangana,7,male,33,regular wage/salaried employees,12500,below middle,9.433483923
3953,1,Gujarat,24,male,71,self employed,12400,below middle,9.425451752
3683,1,Rajasthan,4,female,26,self employed,1,below middle,0
83276,1,Bihar,18,male,40,self employed,15000,below middle,9.61580548
80612,2,West Bengal,17,male,32,self employed,7000,below middle,8.853665428
17391,2,Uttar Pradesh,1,male,46,regular wage/salaried employees,8000,below middle,8.987196821
31664,1,Karnataka,12,male,28,casual labour,9100,below middle,9.116029693
127143,2,Nagaland,5,male,40,self employed,20000,Graduate & above,9.903487553
100832,1,Himachal Pradesh,11,male,26,self employed,1,Secondary & higher,0
65921,1,Jharkhand,4,male,26,casual labour,3250,below middle,8.086410275
12914,1,Maharashtra,4,male,54,self employed,13500,below middle,9.510444964
67855,1,Arunachal Pradesh,6,male,35,self employed,15500,below middle,9.648595303
35131,1,Madhya Pradesh,12,male,48,self employed,4500,below middle,8.411832676
193,1,Uttar Pradesh,41,female,45,self employed,4500,below middle,8.411832676
120310,1,Himachal Pradesh,2,male,62,self employed,750,Secondary & higher,6.620073207
103510,2,Assam,12,female,45,regular wage/salaried employees,43000,Secondary & higher,10.66895539
43518,1,Arunachal Pradesh,15,male,26,self employed,4500,below middle,8.411832676
99193,1,Bihar,21,male,30,casual labour,4333.333,Secondary & higher,8.374092271
66301,1,Bihar,11,male,42,self employed,8000,below middle,8.987196821
105123,1,Odisha,13,female,26,regular wage/salaried employees,2500,Secondary & higher,7.824046011
76705,1,Karnataka,14,male,30,self employed,5500,below middle,8.612503371
7058,1,Kerala,5,male,58,casual labour,7366.667,below middle,8.904720644
36905,1,Odisha,10,male,26,self employed,1,below middle,0
111632,1,Tamil Nadu,3,male,31,regular wage/salaried employees,14000,Secondary & higher,9.546812609
35176,1,Karnataka,7,female,15,self employed,1,below middle,0
100256,1,Andhra Pradesh,7,female,32,self employed,1,Secondary & higher,0
80469,1,Kerala,13,male,45,self employed,5000,below middle,8.517193191
145124,1,Manipur,7,female,25,self employed,5000,Graduate & above,8.517193191
113566,1,Arunachal Pradesh,14,female,19,self employed,1,Secondary & higher,0
144014,2,Telangana,8,male,28,self employed,15000,Graduate & above,9.61580548
141150,1,Rajasthan,13,female,26,self employed,1,Graduate & above,0
59261,1,Gujarat,18,male,30,self employed,1,below middle,0
65421,1,West Bengal,17,female,44,regular wage/salaried employees,3000,below middle,8.006367568
28140,1,Assam,20,female,38,self employed,7500,below middle,8.9226583
73776,2,Rajasthan,1,male,21,regular wage/salaried employees,10000,below middle,9.210340372
118111,1,J&K,8,male,33,casual labour,11916.67,Secondary & higher,9.385693539
87586,2,Delhi,1,male,40,regular wage/salaried employees,9000,Secondary & higher,9.104979856
11970,1,Arunachal Pradesh,15,female,30,self employed,1,below middle,0
44862,2,J&K,10,male,45,self employed,2000,below middle,7.60090246
62097,1,Andhra Pradesh,11,female,26,casual labour,2340,below middle,7.757906208
54646,1,Madhya Pradesh,6,male,30,self employed,9000,below middle,9.104979856
15168,2,Tamil Nadu,5,male,39,self employed,11000,below middle,9.305650552
136608,2,Tamil Nadu,3,male,42,regular wage/salaried employees,1,Graduate & above,0
84531,1,Bihar,5,male,45,casual labour,7583.333,below middle,8.933708092
93542,1,Himachal Pradesh,6,female,51,self employed,1550,Secondary & higher,7.34601021
105430,2,Tripura,1,male,61,self employed,1,Secondary & higher,0
109184,1,Madhya Pradesh,37,male,56,self employed,3000,Secondary & higher,8.006367568
41794,1,Karnataka,14,male,17,casual labour,7583.333,below middle,8.933708092
46775,2,Kerala,2,male,36,self employed,1500,below middle,7.313220387
12812,1,Odisha,19,male,60,casual labour,7583.333,below middle,8.933708092
83002,1,Karnataka,12,male,60,casual labour,6066.667,below middle,8.710564639
143232,2,Kerala,8,male,33,regular wage/salaried employees,12000,Graduate & above,9.392661929
114797,2,J&K,21,male,30,casual labour,12133.33,Secondary & higher,9.40371149
72710,1,Telangana,30,female,62,casual labour,10616.67,below middle,9.270180686
38283,1,West Bengal,10,male,32,casual labour,7583.333,below middle,8.933708092
15756,1,Gujarat,14,male,44,self employed,18400,below middle,9.820105944
33338,2,Meghalaya,2,male,40,self employed,12000,below middle,9.392661929
135051,2,Mizoram,4,male,32,regular wage/salaried employees,28000,Graduate & above,10.23995979
119453,1,West Bengal,2,male,22,self employed,1,Secondary & higher,0
60199,1,Sikkim,2,male,50,self employed,9000,below middle,9.104979856
88706,1,Arunachal Pradesh,15,male,27,self employed,6000,Secondary & higher,8.699514748
95573,1,Rajasthan,14,male,37,self employed,9000,Secondary & higher,9.104979856
108111,2,Bihar,19,male,24,casual labour,7583.333,Secondary & higher,8.933708092
89192,2,Mizoram,7,male,40,casual labour,10400,Secondary & higher,9.249561085
56091,1,Haryana,14,male,44,self employed,9000,below middle,9.104979856
138024,2,Uttrakhand,5,female,29,self employed,1,Graduate & above,0
83951,1,Odisha,2,male,64,self employed,3000,below middle,8.006367568
51079,1,Arunachal Pradesh,9,male,50,self employed,9000,below middle,9.104979856
128143,2,Madhya Pradesh,22,male,43,regular wage/salaried employees,100000,Graduate & above,11.51292546
53831,1,Mizoram,7,male,41,self employed,20000,below middle,9.903487553
125061,1,Uttar Pradesh,70,male,23,regular wage/salaried employees,6000,Graduate & above,8.699514748
38352,1,Uttar Pradesh,58,female,38,self employed,4500,below middle,8.411832676
80665,1,Nagaland,7,female,47,self employed,1,below middle,0
49206,1,Maharashtra,15,male,68,self employed,14500,below middle,9.581903928
112360,2,Uttar Pradesh,3,male,37,self employed,15000,Secondary & higher,9.61580548
10758,1,Maharashtra,24,male,60,self employed,10000,below middle,9.210340372
132362,2,Punjab,12,male,30,regular wage/salaried employees,35000,Graduate & above,10.46310334
111761,2,Haryana,13,male,35,regular wage/salaried employees,30500,Secondary & higher,10.32548196
137602,2,Haryana,20,male,59,regular wage/salaried employees,90000,Graduate & above,11.40756495
77795,1,Uttar Pradesh,11,male,66,self employed,12000,below middle,9.392661929
132271,2,Tamil Nadu,27,male,55,regular wage/salaried employees,88500,Graduate & above,11.39075783
40445,2,Manipur,8,female,25,self employed,7000,below middle,8.853665428
49162,1,Kerala,7,male,52,casual labour,17333.33,below middle,9.760386517
139746,1,Assam,2,male,30,self employed,6000,Graduate & above,8.699514748
76366,1,Tamil Nadu,4,female,55,self employed,1,below middle,0
5056,1,Gujarat,19,male,52,self employed,25000,below middle,10.1266311
59190,2,Tamil Nadu,9,female,29,self employed,3000,below middle,8.006367568
101350,1,Gujarat,2,male,37,self employed,12000,Secondary & higher,9.392661929
70815,2,Bihar,27,male,40,self employed,6000,below middle,8.699514748
141470,1,Manipur,2,male,27,regular wage/salaried employees,8500,Graduate & above,9.047821442
8081,1,Madhya Pradesh,34,female,38,regular wage/salaried employees,2500,below middle,7.824046011
14143,1,Chhattisgarh,8,male,17,self employed,1,below middle,0
113896,2,Goa,1,male,24,regular wage/salaried employees,7500,Secondary & higher,8.9226583
32750,2,J&K,15,female,53,self employed,1000,below middle,6.907755279
132184,1,Maharashtra,2,male,25,regular wage/salaried employees,18000,Graduate & above,9.798127037
140337,1,Tripura,1,male,24,regular wage/salaried employees,4000,Graduate & above,8.29404964
75604,2,Maharashtra,3,male,37,casual labour,10616.67,below middle,9.270180686
114385,1,Odisha,11,male,37,self employed,12000,Secondary & higher,9.392661929
127710,2,Delhi,1,male,49,regular wage/salaried employees,30000,Graduate & above,10.30895266
78969,1,Uttar Pradesh,44,male,42,self employed,5000,below middle,8.517193191
49569,2,Punjab,7,male,48,self employed,10000,below middle,9.210340372
130671,2,Manipur,6,male,49,regular wage/salaried employees,48000,Graduate & above,10.77895629
96777,1,Uttar Pradesh,20,male,19,self employed,1,Secondary & higher,0
12152,1,Nagaland,11,male,41,self employed,9000,below middle,9.104979856
117607,2,Uttar Pradesh,26,male,32,self employed,13000,Secondary & higher,9.472704636
95946,1,Uttar Pradesh,25,female,17,self employed,4000,Secondary & higher,8.29404964
61811,1,Jharkhand,1,female,55,self employed,1,below middle,0
109858,1,Assam,13,male,35,regular wage/salaried employees,7000,Secondary & higher,8.853665428
145646,2,Tripura,1,male,41,regular wage/salaried employees,24000,Graduate & above,10.08580911
55875,2,Uttrakhand,12,male,41,self employed,11000,below middle,9.305650552
45683,2,Uttar Pradesh,34,male,35,regular wage/salaried employees,7000,below middle,8.853665428
83472,1,Karnataka,21,male,53,casual labour,15600,below middle,9.655026193
55829,1,West Bengal,17,male,65,self employed,7500,below middle,8.9226583
145862,1,Rajasthan,17,male,30,regular wage/salaried employees,32800,Graduate & above,10.39818379
119957,2,Maharashtra,34,male,42,casual labour,7800,Secondary & higher,8.961879013
71266,2,Rajasthan,32,male,37,regular wage/salaried employees,15000,below middle,9.61580548
8365,1,Madhya Pradesh,43,male,32,self employed,2000,below middle,7.60090246
8688,1,Kerala,2,male,65,self employed,1,below middle,0
112930,2,Madhya Pradesh,10,male,22,casual labour,4680,Secondary & higher,8.451053389
142840,2,Maharashtra,25,female,29,self employed,20000,Graduate & above,9.903487553
9371,1,Uttrakhand,11,male,65,self employed,8000,below middle,8.987196821
100789,1,Odisha,10,male,40,self employed,7000,Secondary & higher,8.853665428
14497,2,Uttrakhand,13,male,24,self employed,12000,below middle,9.392661929
8426,1,Telangana,18,male,31,self employed,10000,below middle,9.210340372
43370,1,Maharashtra,7,male,26,casual labour,1,below middle,0
21039,1,Jharkhand,2,male,46,self employed,1,below middle,0
101370,2,Maharashtra,25,male,39,regular wage/salaried employees,25000,Secondary & higher,10.1266311
17402,2,Kerala,13,female,50,regular wage/salaried employees,5000,below middle,8.517193191
144594,1,Meghalaya,6,female,28,regular wage/salaried employees,6000,Graduate & above,8.699514748
102398,2,Uttar Pradesh,30,male,40,self employed,17000,Secondary & higher,9.740968623
89916,2,Tamil Nadu,10,female,49,self employed,1,Secondary & higher,0
21752,2,Tamil Nadu,29,female,34,self employed,6000,below middle,8.699514748
135502,2,Sikkim,4,male,41,regular wage/salaried employees,70000,Graduate & above,11.15625052
113220,1,Uttrakhand,9,female,26,self employed,1,Secondary & higher,0
104920,1,Himachal Pradesh,2,male,75,self employed,3590,Secondary & higher,8.185907481
44431,1,Rajasthan,2,male,41,self employed,13000,below middle,9.472704636
71032,1,J&K,14,female,33,self employed,1,below middle,0
50884,1,Assam,15,female,37,self employed,1,below middle,0
132797,2,Arunachal Pradesh,7,female,40,regular wage/salaried employees,28560,Graduate & above,10.25976242
52089,1,Andhra Pradesh,12,male,63,self employed,15500,below middle,9.648595303
143573,2,Gujarat,19,male,54,regular wage/salaried employees,87550,Graduate & above,11.37996534
27306,1,West Bengal,5,male,24,self employed,4000,below middle,8.29404964
95732,1,Karnataka,11,male,40,self employed,9000,Secondary & higher,9.104979856
98845,2,Telangana,27,female,42,regular wage/salaried employees,2000,Secondary & higher,7.60090246
86821,2,J&K,19,male,38,regular wage/salaried employees,36000,Secondary & higher,10.49127422
28083,1,Andhra Pradesh,5,male,50,casual labour,6933.333,below middle,8.844095929
75432,2,Uttar Pradesh,4,female,55,regular wage/salaried employees,6000,below middle,8.699514748
64161,2,Uttar Pradesh,3,male,34,casual labour,7800,below middle,8.961879013
6454,1,Himachal Pradesh,4,female,32,self employed,1,below middle,0
105895,2,Uttar Pradesh,33,male,18,self employed,7000,Secondary & higher,8.853665428
85594,1,Uttar Pradesh,12,male,45,self employed,8000,Secondary & higher,8.987196821
51919,1,Uttar Pradesh,49,male,48,self employed,9000,below middle,9.104979856
34698,1,J&K,15,female,24,self employed,6000,below middle,8.699514748
128871,2,Gujarat,9,male,31,regular wage/salaried employees,7000,Graduate & above,8.853665428
8698,2,Rajasthan,12,male,48,self employed,20000,below middle,9.903487553
9599,2,Madhya Pradesh,10,male,22,regular wage/salaried employees,4000,below middle,8.29404964
40755,1,Punjab,9,male,45,casual labour,5416.667,below middle,8.597235961
77613,1,Uttar Pradesh,35,male,35,casual labour,4333.333,below middle,8.374092271
61313,2,Chhattisgarh,7,female,42,regular wage/salaried employees,1300,below middle,7.170119543
73068,1,Uttar Pradesh,58,male,22,self employed,1,below middle,0
39458,1,Karnataka,3,male,60,self employed,15500,below middle,9.648595303
72970,1,J&K,22,female,45,self employed,10000,below middle,9.210340372
29325,1,Tamil Nadu,29,male,49,casual labour,5633.333,below middle,8.636456553
117708,2,Kerala,4,male,60,regular wage/salaried employees,9000,Secondary & higher,9.104979856
88727,1,Bihar,15,male,60,self employed,1,Secondary & higher,0
60087,1,Tamil Nadu,9,female,34,casual labour,6500,below middle,8.779557456
111292,1,Himachal Pradesh,5,female,22,self employed,1,Secondary & higher,0
8452,2,West Bengal,12,male,61,self employed,7450,below middle,8.915969311
78328,1,Rajasthan,7,male,64,self employed,6000,below middle,8.699514748
140547,2,Andhra Pradesh,13,male,27,casual labour,15600,Graduate & above,9.655026193
51667,1,Nagaland,2,female,43,self employed,2000,below middle,7.60090246
24406,1,Uttar Pradesh,26,female,59,regular wage/salaried employees,30000,below middle,10.30895266
119622,1,West Bengal,7,male,23,self employed,1,Secondary & higher,0
140796,2,Uttar Pradesh,26,male,49,self employed,22500,Graduate & above,10.02127059
145856,2,Rajasthan,1,male,35,self employed,9000,Graduate & above,9.104979856
143075,2,Madhya Pradesh,18,male,61,self employed,12000,Graduate & above,9.392661929
77047,1,Assam,15,female,35,regular wage/salaried employees,8000,below middle,8.987196821
83545,2,Maharashtra,21,male,30,regular wage/salaried employees,8000,below middle,8.987196821
65625,2,Arunachal Pradesh,4,male,48,regular wage/salaried employees,31000,below middle,10.34174248
95797,1,Himachal Pradesh,9,male,69,self employed,7000,Secondary & higher,8.853665428
9307,1,Odisha,16,male,40,regular wage/salaried employees,25000,below middle,10.1266311
110477,1,Maharashtra,34,male,37,self employed,1,Secondary & higher,0
3075,1,Nagaland,6,female,17,self employed,1,below middle,0
46981,1,West Bengal,10,male,51,self employed,9000,below middle,9.104979856
19885,1,Tamil Nadu,24,female,55,casual labour,3900,below middle,8.268731832
39145,1,Nagaland,1,male,58,self employed,10000,below middle,9.210340372
82543,1,Tripura,1,female,38,casual labour,5200,below middle,8.556413905
141148,1,Kerala,10,female,26,self employed,15000,Graduate & above,9.61580548
137204,2,Delhi,1,female,27,regular wage/salaried employees,18000,Graduate & above,9.798127037
128725,1,Madhya Pradesh,25,male,40,self employed,15000,Graduate & above,9.61580548
119659,2,Arunachal Pradesh,4,female,28,regular wage/salaried employees,20390,Secondary & higher,9.922799864
78274,1,Karnataka,3,male,38,casual labour,7583.333,below middle,8.933708092
99832,1,J&K,6,male,44,regular wage/salaried employees,2500,Secondary & higher,7.824046011
95901,2,Andhra Pradesh,6,male,32,regular wage/salaried employees,15000,Secondary & higher,9.61580548
103368,2,Gujarat,33,male,52,self employed,10000,Secondary & higher,9.210340372
6433,1,Maharashtra,25,male,56,self employed,25000,below middle,10.1266311
103987,2,Karnataka,25,male,40,regular wage/salaried employees,5000,Secondary & higher,8.517193191
145607,2,Madhya Pradesh,43,male,33,regular wage/salaried employees,12000,Graduate & above,9.392661929
17953,2,Madhya Pradesh,38,male,52,regular wage/salaried employees,5000,below middle,8.517193191
56,1,Maharashtra,14,male,18,regular wage/salaried employees,6000,below middle,8.699514748
121873,1,Arunachal Pradesh,15,male,35,self employed,25000,Secondary & higher,10.1266311
38110,1,Gujarat,3,male,16,regular wage/salaried employees,10000,below middle,9.210340372
95245,1,Kerala,8,male,27,regular wage/salaried employees,18000,Secondary & higher,9.798127037
79561,1,Assam,6,female,35,self employed,3000,below middle,8.006367568
47260,2,Uttrakhand,5,male,41,regular wage/salaried employees,12000,below middle,9.392661929
64448,1,Telangana,2,male,25,self employed,7200,below middle,8.881836305
70724,1,Bihar,12,male,50,self employed,15000,below middle,9.61580548
23549,2,Kerala,2,male,49,casual labour,11050,below middle,9.310185707
39831,2,Andhra Pradesh,12,female,45,self employed,3000,below middle,8.006367568
10532,2,Rajasthan,15,male,45,self employed,25000,below middle,10.1266311
76799,1,Bihar,1,male,42,regular wage/salaried employees,10000,below middle,9.210340372
76984,2,Madhya Pradesh,22,male,26,regular wage/salaried employees,8500,below middle,9.047821442
69115,1,Madhya Pradesh,16,female,30,self employed,1,below middle,0
66092,1,Assam,17,male,38,self employed,10000,below middle,9.210340372
123212,2,Gujarat,10,male,55,regular wage/salaried employees,35000,Secondary & higher,10.46310334
23254,1,Meghalaya,2,male,36,self employed,1,below middle,0
114865,1,J&K,9,male,42,regular wage/salaried employees,35000,Secondary & higher,10.46310334
1308,1,Daman and Diu,1,male,39,self employed,13700,below middle,9.525151112
113366,2,West Bengal,7,female,48,self employed,1,Secondary & higher,0
122303,2,Tamil Nadu,9,male,41,regular wage/salaried employees,10500,Secondary & higher,9.259130536
128711,1,Tamil Nadu,7,female,29,regular wage/salaried employees,10000,Graduate & above,9.210340372
123172,1,Chhattisgarh,26,male,32,self employed,8900,Secondary & higher,9.093806556
106534,1,Madhya Pradesh,23,male,23,self employed,6000,Secondary & higher,8.699514748
2135,1,Rajasthan,16,male,65,regular wage/salaried employees,10000,below middle,9.210340372
52873,2,Haryana,6,female,37,regular wage/salaried employees,5600,below middle,8.630521877
46721,2,Telangana,23,female,40,regular wage/salaried employees,5000,below middle,8.517193191
79265,1,Maharashtra,26,male,35,casual labour,5200,below middle,8.556413905
73915,1,Punjab,3,male,32,self employed,7000,below middle,8.853665428
105680,1,J&K,19,male,20,self employed,1,Secondary & higher,0
46252,1,Telangana,28,female,53,casual labour,2600,below middle,7.863266724
107471,2,Madhya Pradesh,34,male,66,regular wage/salaried employees,3500,Secondary & higher,8.160518247
141090,2,Tamil Nadu,22,male,36,regular wage/salaried employees,12000,Graduate & above,9.392661929
89932,1,Bihar,9,male,26,casual labour,10616.67,Secondary & higher,9.270180686
113481,2,Bihar,24,male,28,casual labour,9100,Secondary & higher,9.116029693
80555,1,Uttar Pradesh,45,female,32,self employed,1,below middle,0
31072,1,Uttar Pradesh,64,male,55,self employed,1020,below middle,6.927557906
109175,2,Rajasthan,13,male,18,self employed,1,Secondary & higher,0
74936,1,Maharashtra,34,male,40,self employed,20000,below middle,9.903487553
37701,1,Assam,12,female,27,casual labour,4342,below middle,8.37609035
108001,2,West Bengal,16,male,30,regular wage/salaried employees,8000,Secondary & higher,8.987196821
7251,2,Uttar Pradesh,19,male,30,regular wage/salaried employees,6000,below middle,8.699514748
49151,1,Andhra Pradesh,12,male,39,casual labour,3640,below middle,8.199738961
48948,1,Madhya Pradesh,21,male,18,self employed,7500,below middle,8.9226583
13120,1,Odisha,7,male,26,self employed,4200,below middle,8.342839804
54564,1,Madhya Pradesh,37,female,43,self employed,1,below middle,0
109160,1,West Bengal,2,female,32,self employed,1,Secondary & higher,0
30452,1,Maharashtra,4,female,40,self employed,1,below middle,0
69157,2,Mizoram,3,male,29,self employed,10000,below middle,9.210340372
145126,2,Chhattisgarh,1,male,34,self employed,15000,Graduate & above,9.61580548
80405,2,West Bengal,6,male,62,self employed,10000,below middle,9.210340372
2295,2,Maharashtra,25,female,55,regular wage/salaried employees,10000,below middle,9.210340372
112966,1,Bihar,10,male,49,self employed,10000,Secondary & higher,9.210340372
36991,1,Uttar Pradesh,69,male,55,self employed,8950,below middle,9.099408811
100802,1,Gujarat,24,female,23,self employed,1,Secondary & higher,0
67065,1,Tamil Nadu,21,male,60,regular wage/salaried employees,9000,below middle,9.104979856
127610,2,Odisha,8,male,41,self employed,15000,Graduate & above,9.61580548
85470,1,Telangana,25,male,22,self employed,1,Secondary & higher,0
56130,1,Tamil Nadu,27,female,35,casual labour,2600,below middle,7.863266724
127100,1,Maharashtra,20,male,26,self employed,1,Graduate & above,0
139068,2,Uttar Pradesh,26,male,34,regular wage/salaried employees,10000,Graduate & above,9.210340372
75916,2,Andhra Pradesh,8,female,43,casual labour,4333.333,below middle,8.374092271
11843,1,Jharkhand,7,male,30,casual labour,5200,below middle,8.556413905
46788,2,Chandigarh,1,female,28,regular wage/salaried employees,5000,below middle,8.517193191
47216,1,Uttrakhand,3,female,43,self employed,4000,below middle,8.29404964
57529,1,Andhra Pradesh,2,male,42,casual labour,5416.667,below middle,8.597235961
138252,1,West Bengal,3,male,27,self employed,1,Graduate & above,0
92101,2,Tamil Nadu,4,male,22,regular wage/salaried employees,1,Secondary & higher,0
42726,1,Gujarat,24,male,35,self employed,12000,below middle,9.392661929
26476,1,Chhattisgarh,12,female,16,casual labour,3640,below middle,8.199738961
32092,2,Assam,6,female,24,casual labour,7800,below middle,8.961879013
42797,1,Punjab,14,female,36,self employed,3000,below middle,8.006367568
80619,2,Maharashtra,25,male,63,self employed,20000,below middle,9.903487553
132681,2,Andhra Pradesh,10,female,36,regular wage/salaried employees,1,Graduate & above,0
11110,1,Madhya Pradesh,18,male,65,self employed,10000,below middle,9.210340372
101916,1,Bihar,30,male,49,self employed,14000,Secondary & higher,9.546812609
2649,2,Maharashtra,9,female,44,self employed,3000,below middle,8.006367568
103085,1,Maharashtra,14,male,45,self employed,7400,Secondary & higher,8.909235279
43805,1,Arunachal Pradesh,5,male,28,self employed,10000,below middle,9.210340372
107025,2,Meghalaya,1,male,44,regular wage/salaried employees,33715,Secondary & higher,10.42569812
120810,1,Gujarat,19,female,19,self employed,1,Secondary & higher,0
19468,1,Gujarat,16,female,47,self employed,2500,below middle,7.824046011
92468,1,Andhra Pradesh,1,male,33,casual labour,13650,Secondary & higher,9.521494801
7278,1,Andhra Pradesh,12,male,60,casual labour,3466.667,below middle,8.150948893
47842,1,Tripura,2,male,40,casual labour,9100,below middle,9.116029693
64444,1,Uttar Pradesh,58,male,31,casual labour,6933.333,below middle,8.844095929
117047,2,Chhattisgarh,6,male,49,self employed,8000,Secondary & higher,8.987196821
88240,2,Karnataka,18,male,35,regular wage/salaried employees,17000,Secondary & higher,9.740968623
55817,1,Maharashtra,1,female,50,casual labour,2166.667,below middle,7.680945321
30102,1,Maharashtra,18,female,38,self employed,1,below middle,0
51153,2,Maharashtra,21,male,33,regular wage/salaried employees,8000,below middle,8.987196821
100995,2,Rajasthan,12,male,56,self employed,20000,Secondary & higher,9.903487553
76026,1,Jharkhand,18,male,37,casual labour,2210,below middle,7.700747795
59438,1,Bihar,16,male,64,self employed,10000,below middle,9.210340372
42151,1,J&K,13,female,48,self employed,2000,below middle,7.60090246
28343,2,Maharashtra,34,female,35,regular wage/salaried employees,6000,below middle,8.699514748
138523,2,Andhra Pradesh,4,male,23,regular wage/salaried employees,18000,Graduate & above,9.798127037
121895,2,Odisha,17,male,47,regular wage/salaried employees,15000,Secondary & higher,9.61580548
105732,1,Kerala,10,male,57,self employed,32000,Secondary & higher,10.37349118
15160,2,Uttar Pradesh,28,male,40,regular wage/salaried employees,1,below middle,0
63094,1,Mizoram,7,male,21,casual labour,7800,below middle,8.961879013
134410,2,Maharashtra,22,female,60,self employed,20000,Graduate & above,9.903487553
126505,2,Karnataka,1,male,61,self employed,1,Graduate & above,0
130,2,Gujarat,25,female,50,self employed,5000,below middle,8.517193191
7233,1,Bihar,36,male,65,self employed,8000,below middle,8.987196821
29602,1,Himachal Pradesh,11,female,56,self employed,5000,below middle,8.517193191
143084,1,Uttar Pradesh,59,male,35,self employed,2300,Graduate & above,7.740664402
136232,2,Himachal Pradesh,11,male,24,regular wage/salaried employees,9680,Graduate & above,9.17781718
64932,1,Uttar Pradesh,41,male,71,self employed,5450,below middle,8.603370888
92310,1,Maharashtra,14,male,64,self employed,1,Secondary & higher,0
21424,1,Madhya Pradesh,24,male,45,self employed,800,below middle,6.684611728
560,1,Maharashtra,14,female,40,casual labour,6066.667,below middle,8.710564639
53255,2,Odisha,8,male,26,casual labour,9100,below middle,9.116029693
121529,1,Uttar Pradesh,13,male,36,self employed,7000,Secondary & higher,8.853665428
35134,1,West Bengal,17,male,36,casual labour,7583.333,below middle,8.933708092
30689,2,Chhattisgarh,4,female,42,self employed,1,below middle,0
4159,1,Gujarat,13,male,65,self employed,15750,below middle,9.664595644
42846,1,Meghalaya,1,male,49,self employed,10500,below middle,9.259130536
100687,1,Manipur,5,male,45,casual labour,12133.33,Secondary & higher,9.40371149
126806,1,Rajasthan,18,male,57,regular wage/salaried employees,60000,Graduate & above,11.00209984
105225,2,Uttrakhand,13,male,32,regular wage/salaried employees,9000,Secondary & higher,9.104979856
113846,2,Gujarat,14,male,22,regular wage/salaried employees,7900,Secondary & higher,8.974618038
138675,2,Kerala,13,female,38,regular wage/salaried employees,44160,Graduate & above,10.69557468
5468,2,Delhi,4,male,40,self employed,22000,below middle,9.998797732
97441,1,Uttar Pradesh,57,male,22,casual labour,9100,Secondary & higher,9.116029693
76149,2,Karnataka,23,male,35,regular wage/salaried employees,1,below middle,0
95476,1,West Bengal,14,male,28,regular wage/salaried employees,8000,Secondary & higher,8.987196821
10330,2,Karnataka,23,male,19,regular wage/salaried employees,10000,below middle,9.210340372
101058,1,Telangana,20,male,26,regular wage/salaried employees,10000,Secondary & higher,9.210340372
137378,2,Andhra Pradesh,6,female,24,regular wage/salaried employees,15000,Graduate & above,9.61580548
59316,1,Punjab,5,female,35,self employed,6000,below middle,8.699514748
67711,1,Kerala,14,male,45,regular wage/salaried employees,18000,below middle,9.798127037
69939,2,Tripura,1,male,21,self employed,8000,below middle,8.987196821
81088,2,Uttrakhand,5,male,42,regular wage/salaried employees,15000,below middle,9.61580548
111702,2,J&K,8,male,20,casual labour,1,Secondary & higher,0
108677,2,Kerala,8,female,60,self employed,5000,Secondary & higher,8.517193191
54106,1,Madhya Pradesh,19,male,25,casual labour,5200,below middle,8.556413905
60090,1,Karnataka,18,male,27,casual labour,18200,below middle,9.809176873
92024,1,Mizoram,6,female,25,self employed,10000,Secondary & higher,9.210340372
95013,2,West Bengal,11,male,30,regular wage/salaried employees,8000,Secondary & higher,8.987196821
57049,2,Tamil Nadu,16,male,34,casual labour,6066.667,below middle,8.710564639
24699,1,Nagaland,11,male,50,regular wage/salaried employees,21000,below middle,9.952277717
42580,1,Telangana,16,male,36,casual labour,6066.667,below middle,8.710564639
126792,1,Chhattisgarh,2,male,67,self employed,3000,Graduate & above,8.006367568
4088,1,Jharkhand,17,male,15,self employed,1,below middle,0
8528,2,Rajasthan,12,male,30,casual labour,9100,below middle,9.116029693
15805,1,Odisha,6,male,58,self employed,4000,below middle,8.29404964
79003,2,Rajasthan,12,male,45,self employed,1,below middle,0
3284,1,Uttar Pradesh,45,male,20,self employed,1,below middle,0
115786,2,Assam,23,male,38,self employed,50000,Secondary & higher,10.81977828
47212,1,Arunachal Pradesh,6,male,69,self employed,13000,below middle,9.472704636
5020,2,Madhya Pradesh,28,female,45,regular wage/salaried employees,2500,below middle,7.824046011
22211,1,Arunachal Pradesh,3,male,40,self employed,18000,below middle,9.798127037
118992,1,West Bengal,7,male,23,casual labour,3900,Secondary & higher,8.268731832
93303,2,J&K,7,male,54,regular wage/salaried employees,56000,Secondary & higher,10.93310697
86981,2,Bihar,17,male,50,self employed,9000,Secondary & higher,9.104979856
113151,2,Maharashtra,19,male,55,self employed,9000,Secondary & higher,9.104979856
131887,2,Rajasthan,31,male,25,regular wage/salaried employees,15000,Graduate & above,9.61580548
36024,2,Tamil Nadu,2,female,45,self employed,1,below middle,0
79985,1,Punjab,6,male,60,regular wage/salaried employees,6000,below middle,8.699514748
107080,1,Uttrakhand,12,female,32,self employed,1,Secondary & higher,0
60262,1,West Bengal,12,male,35,self employed,9000,below middle,9.104979856
